http://modelica.org/msl/SIUnits/individuals#,http://qudt.org/1.1/vocab/unit#
SoundPressureLevel,Decibel
AmplitudeLevelDifference,Decibel
PowerLevelDifference,Decibel
SoundReductionIndex,Decibel
SoundPowerLevel,Decibel
RadiantPower,Watt
SoundPower,Watt
ActivePower,Watt
HeatFlowRate,Watt
InstantaneousPower,Watt
Power,Watt
EnthalpyFlowRate,Watt
EnergyFlowRate,Watt
ThermalResistance,KelvinPerWatt
Temperature_degF,DegreeFahrenheit
Temp_C,DegreeCelsius
Temperature_degC,DegreeCelsius
Temp_K,Kelvin
DebyeTemperature,Kelvin
ThermodynamicTemperature,Kelvin
FermiTemperature,Kelvin
NeelTemperature,Kelvin
TemperatureDifference,Kelvin
CurieTemperature,Kelvin
Temperature,Kelvin
KineticEnergy,Joule
ReactionEnergy,Joule
MaximumBetaParticleEnergy,Joule
HartreeEnergy,Joule
AlphaDisintegrationEnergy,Joule
Enthalpy,Joule
Energy,Joule
PotentialEnergy,Joule
GibbsFreeEnergy,Joule
MeanEnergyImparted,Joule
Work,Joule
Heat,Joule
InternalEnergy,Joule
EnergyImparted,Joule
HelmholtzFreeEnergy,Joule
BetaDisintegrationEnergy,Joule
RadiantEnergy,Joule
LevelWidth,Joule
ResonanceEnergy,Joule
MagneticPolarization,Tesla
MagneticFluxDensity,Tesla
ElectricPotential,Volt
ElectromotiveForce,Volt
PotentialDifference,Volt
Voltage,Volt
PeltierCoefficient,Volt
ThermoelectromotiveForce,Volt
Magnetization,AmperePerMeter
MagneticFieldStrength,AmperePerMeter
LinearCurrentDensity,AmperePerMeter
Admittance,Siemens
Conductance,Siemens
Susceptance,Siemens
ModulusOfAdmittance,Siemens
LuminousIntensity,Candela
LuminousIntensity,Candlepower
LuminousIntensity,Candle
Luminance,CandelaPerSquareMeter
Illuminance,Lux
LuminousFlux,Lumen
SelfInductance,Henry
Permeance,Henry
MutualInductance,Henry
Inductance,Henry
MagneticFlux,Weber
FluxiodQuantum,Weber
Permeability,HenryPerMeter
PermeabilityOfVacuum,HenryPerMeter
CurrentDensity,AmperePerSquareMeter
ElectricCharge,Coulomb
ElectricFlux,Coulomb
Charge,Coulomb
ElementaryCharge,Coulomb
Capacitance,Faraday
Current,Ampere
CurrentLinkage,Ampere
ElectricCurrent,Ampere
MagneticPotential,Ampere
MagnetomotiveForce,Ampere
MagneticPotentialDifference,Ampere
ElectricDipoleMomentOfMolecule,CoulombMeter
ElectricDipoleMoment,CoulombMeter
Capacitance,Farad
SpecificHelmholtzFreeEnergy,JoulePerKilogram
SpecificInternalEnergy,JoulePerKilogram
SpecificEnthalpy,JoulePerKilogram
SpecificEnergy,JoulePerKilogram
SpecificGibbsFreeEnergy,JoulePerKilogram
MassOfProton,Kilogram
Mass,Kilogram
EffectiveMass,Kilogram
MassOfMolecule,Kilogram
MassOfElectron,Kilogram
AtomicMassConstant,Kilogram
MassOfNeutron,Kilogram
MassExcess,Kilogram
MassDefect,Kilogram
Force,Newton
Weight,Newton
ImpulseFlowRate,Newton
MomentumFlux,Newton
LinearDensity,KilogramPerMeter
EnergyFluence,JoulePerSquareMeter
RadiantExtiance,WattPerSquareMeter
Irradiance,WattPerSquareMeter
EnergyFluenceRate,WattPerSquareMeter
HeatFlux,WattPerSquareMeter
PoyntingVector,WattPerSquareMeter
SoundIntensity,WattPerSquareMeter
DensityOfHeatFlowRate,WattPerSquareMeter
RadiantEnergyFluenceRate,WattPerSquareMeter
PartialPressure,Pascal
SoundPressure,Pascal
ShearStress,Pascal
NormalStress,Pascal
PressureDifference,Pascal
Fugacity,Pascal
BulkModulus,Pascal
OsmoticPressure,Pascal
ModulusOfElasticity,Pascal
StaticPressure,Pascal
ShearModulus,Pascal
AbsolutePressure,Pascal
Stress,Pascal
Pressure,Pascal
Pressure_bar,Bar
SpecificVolume,CubicMeterPerKilogram
Density,KilogramPerCubicMeter
MassConcentration,KilogramPerCubicMeter
ElectromagneticEnergyDensity,JoulePerCubicMeter
RadiantEnergyDensity,JoulePerCubicMeter
EnergyDensity,JoulePerCubicMeter
SoundEnergyDensity,JoulePerCubicMeter
MassFlowRate,KilogramPerSecond
DonorIonizationEnergy,ElectronVolt
AcceptorIonizationEnergy,ElectronVolt
ActivationEnergy,ElectronVolt
ExchangeIntegral,ElectronVolt
FermiEnergy,ElectronVolt
GapEnergy,ElectronVolt
SurfaceTension,NewtonPerMeter
TranslationalSpringConstant,NewtonPerMeter
SurfaceDensity,KilogramPerSquareMeter
MeanMassRange,KilogramPerSquareMeter
MolecularConcentration,PerCubicMeter
IntrinsicNumberDensity,PerCubicMeter
DonorNumberDensity,PerCubicMeter
ElectronNumberDensity,PerCubicMeter
NumberDensityOfMolecules,PerCubicMeter
NeutronNumberDensity,PerCubicMeter
HoleNumberDensity,PerCubicMeter
IonNumberDensity,PerCubicMeter
AcceptorNumberDensity,PerCubicMeter
PropagationCoefficient,PerMeter
TotalMacroscopicCrossSection,PerMeter
FermiCircularWavenumber,PerMeter
LinearAttenuationCoefficient,PerMeter
AttenuationCoefficient,PerMeter
WaveNumber,PerMeter
LinearIonization,PerMeter
DebyeCircularWavenumber,PerMeter
CircularWavenumber,PerMeter
MacroscopicCrossSection,PerMeter
PhaseCoefficient,PerMeter
LinearAbsorptionCoefficient,PerMeter
AngularAcceleration,RadianPerSecondSquared
Volume,CubicMeter
SectionModulus,CubicMeter
ElectricCharge,Cord
ElectricFlux,Cord
Charge,Cord
ElementaryCharge,Cord
Volume,CubicMillimeter
SectionModulus,CubicMillimeter
Area_cm,SquareCentimeter
NuclearQuadrupoleMoment,SquareMeter
MigrationArea,SquareMeter
EquivalentAbsorptionArea,SquareMeter
TotalCrossSection,SquareMeter
AtomicAttenuationCoefficient,SquareMeter
SlowingDownArea,SquareMeter
Area,SquareMeter
CrossSection,SquareMeter
DiffusionArea,SquareMeter
AngularFrequency,RadianPerSecond
AngularVelocity,RadianPerSecond
CircularWaveNumber,RadianPerMinute
Radius,Meter
MigrationLength,Meter
HalfThickness,Meter
MeanFreePath,Meter
SoundParticleDisplacement,Meter
SlowingDownLength,Meter
Position,Meter
Wavelength,Meter
Thickness,Meter
DiffusionLength,Meter
ComptonWavelength,Meter
LondonPenetrationDepth,Meter
PathLength,Meter
NuclearRadius,Meter
Length,Meter
Wavelenght,Meter
CoherenceLength,Meter
MeanLinearRange,Meter
Diameter,Meter
ElectronRadius,Meter
Height,Meter
Breadth,Meter
Distance,Meter
Frequency,Hertz
DebyeCircularFrequency,PerSecond
DampingCoefficient,PerSecond
DecayConstant,PerSecond
LarmorAngularFrequency,PerSecond
Damping,PerSecond
CyclotronAngularFrequency,PerSecond
NuclearPrecessionAngularFrequency,PerSecond
BraggAngle,Radian
Angle,Radian
PhaseDifference,Radian
LossAngle,Radian
SolidAngle,Steradian
Time_day,Day
Time_minute,MinuteSidereal
Time_day,DaySidereal
Time,SecondTime
HalfLife,SecondTime
CarrierLifeTime,SecondTime
ReverberationTime,SecondTime
Period,SecondTime
Duration,SecondTime
RelaxationTime,SecondTime
ReactorTimeConstant,SecondTime
MeanLife,SecondTime
Time_minute,MinuteTime
RecombinationCoefficient,CubicMeterPerSecond
VolumeFlowRate,CubicMeterPerSecond
BraggAngle,Rad
Angle,Rad
PhaseDifference,Rad
LossAngle,Rad
SpecificEnergyImparted,Gray
AbsorbedDose,Gray
Kerma,Gray
DoseEquivalent,Sievert
Activity,Becquerel
KermaRate,GrayPerSecond
AbsorbedDoseRate,GrayPerSecond
AmountOfSubstance,Mole
IonicStrength,MolePerKilogram
Affinity,JoulePerMole
ChemicalPotential,JoulePerMole
MolarEnergy,JoulePerMole
MolarEnthalpy,JoulePerMole
MolarInternalEnergy,JoulePerMole
MolarDensity,MolePerCubicMeter
Concentration,MolePerCubicMeter
Time_day,Deci
Time_hour,Hecto
Radius,Milli
MigrationLength,Milli
HalfThickness,Milli
MeanFreePath,Milli
SoundParticleDisplacement,Milli
SlowingDownLength,Milli
Position,Milli
Wavelength,Milli
Thickness,Milli
DiffusionLength,Milli
ComptonWavelength,Milli
LondonPenetrationDepth,Milli
PathLength,Milli
NuclearRadius,Milli
Length,Milli
Wavelenght,Milli
CoherenceLength,Milli
MeanLinearRange,Milli
Diameter,Milli
ElectronRadius,Milli
Height,Milli
Breadth,Milli
Distance,Milli
MagneticPolarization,Tera
MagneticFluxDensity,Tera